500,332
357,500
350,500
500,500
324,500
500,333
500,333
500,333
500,422
324,500
500,375
485,500
500,410
500,375
500,332
500,435
500,333
500,375
386,500
500,333
500,361
500,333
500,334
437,500
426,500
500,333
500,375
500,452
500,333
500,333
421,500
500,500
445,500
500,333
500,335
500,333
500,400
500,365
500,357
500,333
500,357
500,374
500,334
500,333
500,367
500,333
500,350
479,500
500,439
500,375
500,392
500,333
500,344
357,500
500,387
500,370
500,333
500,473
500,335
500,414
357,500
500,375
333,500
500,334
500,357
500,354
500,375
500,325
500,383
500,402
500,357
500,359
500,333
500,455
500,333
500,363
490,500
500,333
500,333
500,338
500,333
500,332
500,375
500,500
500,331
500,333
500,371
500,333
500,356
355,500
500,375
500,334
500,398
500,359
500,255
432,500
500,405
500,375
500,333
500,333
500,335
500,333
500,335
500,317
500,474
500,337
500,373
500,333
500,375
500,352
500,332
500,400
500,368
500,333
500,375
500,335
500,337
500,357
500,387
500,382
500,333
500,500
500,403
500,344
350,500
500,333
500,334
500,375
500,500
500,333
500,357
386,500
500,325
335,500
500,436
500,347
500,333
500,333
500,464
500,333
500,369
500,398
500,389
500,379
500,309
500,338
400,500
500,335
397,500
500,389
500,373
414,500
500,281
500,375
500,386
500,493
500,333
500,332
500,333
500,407
469,407
500,388
500,400
500,332
500,334
500,333
500,416
334,500
357,500
500,333
500,340
500,333
500,333
500,500
400,500
414,500
500,375
500,333
500,383
500,333
500,400
500,334
400,500
500,375
500,333
375,500
500,400
500,333
483,500
500,395
419,500
500,334
500,332
500,385
465,500
500,333
500,361
357,500
500,400
500,333
